Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
56	:	1569850590.347	     7.292	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/Misc/fp-convert && timeout --signal=TERM 0 ./NO_SSA_fp-convert.exe   < /dev/null &> /dev/null
57	:	1569850597.641	     1.533	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/Misc/himenobmtxpa && timeout --signal=TERM 0 ./NO_SSA_himenobmtxpa.exe   < /dev/null &> /dev/null
58	:	1569850599.178	    25.207	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/Misc/lowercase && timeout --signal=TERM 0 ./NO_SSA_lowercase.exe   < /dev/null &> /dev/null
59	:	1569850624.387	     0.686	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/Misc/mandel && timeout --signal=TERM 0 ./NO_SSA_mandel.exe   < /dev/null &> /dev/null
60	:	1569850625.076	     1.374	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/Misc/mandel-2 && timeout --signal=TERM 0 ./NO_SSA_mandel-2.exe   < /dev/null &> /dev/null
61	:	1569850626.453	     3.942	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/Misc/matmul_f64_4x4 && timeout --signal=TERM 0 ./NO_SSA_matmul_f64_4x4.exe   < /dev/null &> /dev/null
62	:	1569850630.398	    10.829	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/Misc/oourafft && timeout --signal=TERM 0 ./NO_SSA_oourafft.exe   < /dev/null &> /dev/null
63	:	1569850641.230	     8.177	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/Misc/perlin && timeout --signal=TERM 0 ./NO_SSA_perlin.exe   < /dev/null &> /dev/null
64	:	1569850649.409	     0.937	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/Misc/pi && timeout --signal=TERM 0 ./NO_SSA_pi.exe   < /dev/null &> /dev/null
65	:	1569850650.349	     7.855	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/Misc/ReedSolomon && timeout --signal=TERM 0 ./NO_SSA_ReedSolomon.exe   < /dev/null &> /dev/null
66	:	1569850658.206	     0.303	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/Misc/revertBits && timeout --signal=TERM 0 ./NO_SSA_revertBits.exe   < /dev/null &> /dev/null
67	:	1569850658.512	     1.621	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/Misc/richards_benchmark && timeout --signal=TERM 0 ./NO_SSA_richards_benchmark.exe   < /dev/null &> /dev/null
68	:	1569850660.136	    11.108	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/Misc/salsa20 && timeout --signal=TERM 0 ./NO_SSA_salsa20.exe   < /dev/null &> /dev/null
69	:	1569850671.247	     2.105	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/Misc/whetstone && timeout --signal=TERM 0 ./NO_SSA_whetstone.exe   < /dev/null &> /dev/null
70	:	1569850673.355	     0.016	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/Shootout/ackermann && timeout --signal=TERM 0 ./NO_SSA_ackermann.exe   < /dev/null &> /dev/null
71	:	1569850673.375	     4.822	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/Shootout/ary3 && timeout --signal=TERM 0 ./NO_SSA_ary3.exe   < /dev/null &> /dev/null
72	:	1569850678.200	     4.011	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/Shootout/fib2 && timeout --signal=TERM 0 ./NO_SSA_fib2.exe   < /dev/null &> /dev/null
73	:	1569850682.215	     4.854	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/Shootout/hash && timeout --signal=TERM 0 ./NO_SSA_hash.exe   < /dev/null &> /dev/null
74	:	1569850687.071	     3.329	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/Shootout/heapsort && timeout --signal=TERM 0 ./NO_SSA_heapsort.exe   < /dev/null &> /dev/null
75	:	1569850690.403	     0.003	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/Shootout/hello && timeout --signal=TERM 0 ./NO_SSA_hello.exe   < /dev/null &> /dev/null
76	:	1569850690.409	    17.716	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/Shootout/lists && timeout --signal=TERM 0 ./NO_SSA_lists.exe   < /dev/null &> /dev/null
77	:	1569850708.126	    10.480	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/Shootout/matrix && timeout --signal=TERM 0 ./NO_SSA_matrix.exe   < /dev/null &> /dev/null
78	:	1569850718.609	     6.160	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/Shootout/methcall && timeout --signal=TERM 0 ./NO_SSA_methcall.exe   < /dev/null &> /dev/null
79	:	1569850724.771	    20.828	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/Shootout/nestedloop && timeout --signal=TERM 0 ./NO_SSA_nestedloop.exe   < /dev/null &> /dev/null
80	:	1569850745.602	     2.697	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/Shootout/objinst && timeout --signal=TERM 0 ./NO_SSA_objinst.exe   < /dev/null &> /dev/null
81	:	1569850748.301	     2.832	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/Shootout/random && timeout --signal=TERM 0 ./NO_SSA_random.exe   < /dev/null &> /dev/null
82	:	1569850751.136	    14.952	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/Shootout/sieve && timeout --signal=TERM 0 ./NO_SSA_sieve.exe   < /dev/null &> /dev/null
83	:	1569850766.090	     0.172	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/Shootout/strcat && timeout --signal=TERM 0 ./NO_SSA_strcat.exe   < /dev/null &> /dev/null
84	:	1569850766.264	     0.071	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/Stanford/Bubblesort && timeout --signal=TERM 0 ./NO_SSA_Bubblesort.exe   < /dev/null &> /dev/null
85	:	1569850766.337	     1.367	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/Stanford/FloatMM && timeout --signal=TERM 0 ./NO_SSA_FloatMM.exe   < /dev/null &> /dev/null
86	:	1569850767.723	     0.059	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/Stanford/IntMM && timeout --signal=TERM 0 ./NO_SSA_IntMM.exe   < /dev/null &> /dev/null
